chid,top1,top2,top3
10084366,48,15,2
10084398,10,37,2
10084419,22,37,2
10084594,48,15,37
10084611,36,19,18
10084638,13,10,15
10084681,13,15,2
10084700,37,10,48
10084711,12,37,10
10084764,36,48,15
10084825,36,37,15
10084884,37,15,39
10085043,13,37,19
10085141,37,19,10
10085213,36,37,2
10085237,37,15,2
10085250,36,10,2
10085398,2,37,15
10085461,37,2,15
10085523,37,15,26
10085640,10,36,15
10085674,37,10,2
10085689,48,37,15
10085693,37,36,10
10085753,48,15,37
10085772,15,18,10
10085866,36,10,2
10085944,2,22,18
10085975,36,37,15
10085985,37,15,10
10086002,37,48,2
10086068,37,2,15
10086136,37,10,2
10086144,37,36,15
10086248,37,36,15
10086324,2,19,25
10086346,37,15,10
10086423,36,37,25
10086437,36,37,15
10086504,37,2,15
10086533,13,37,10
10086568,13,37,15
10086586,15,2,37
10086589,48,19,37
10086639,37,15,2
10086737,13,36,2
10086746,39,12,48
10086783,37,15,36
10086798,48,36,10
10086820,10,21,36
10086908,36,37,15
10086974,37,36,15
10087033,10,2,15
10087078,37,2,36
10087137,36,10,37
10087162,37,10,2
10087330,15,2,13
10087348,2,15,19
10087361,37,2,15
10087371,37,36,15
10087457,2,15,37
10087518,12,2,10
10087576,13,48,15
10087592,10,36,21
10087613,2,37,19
10087658,22,2,25
10087689,36,10,37
10087699,37,2,19
10087722,6,37,15
10087742,37,2,19
10087788,37,2,15
10087817,36,10,15
10087820,15,2,37
10087908,37,26,15
10088014,37,2,15
10088049,37,19,6
10088124,15,37,2
10088186,37,48,15
10088190,10,37,2
10088202,22,2,15
10088204,10,12,2
10088210,2,36,15
10088248,48,37,2
10088329,36,2,15
10088352,13,37,15
10088415,36,10,15
10088540,37,36,2
10088581,36,15,48
10088587,37,10,15
10088608,36,48,37
10088651,10,2,15
10088732,37,2,15
10088781,37,10,2
10088941,13,10,15
10088988,37,15,18
10088997,48,10,2
10089083,37,15,36
10089098,2,37,15
10089176,48,22,15
10089179,37,19,2
10089227,37,10,15
10089302,37,36,39
10089368,13,39,15
10089442,37,10,22
10089454,10,37,2
10089458,37,15,10
10089489,36,15,2
10089520,15,36,13
10089521,37,15,2
10089546,36,18,15
10089706,25,37,2
10089735,10,37,15
10089762,37,15,36
10089769,36,10,37
10089798,37,36,10
10089903,15,36,37
10089966,37,12,15
10089995,36,15,2
10090081,36,15,25
10090109,10,2,37
10090114,37,36,25
10090170,48,15,36
10090204,15,48,26
10090254,12,39,2
10090319,2,37,15
10090382,15,2,48
10090392,2,39,6
10090428,37,15,39
10090468,18,2,10
10090550,37,12,15
10090588,36,10,15
10090611,10,15,37
10090620,15,10,48
10090663,37,10,15
10090690,48,37,6
10090828,37,2,15
10091006,6,36,10
10091042,37,15,2
10091075,37,36,2
10091113,37,2,15
10091132,13,2,15
10091170,37,15,2
10091259,36,10,37
10091340,37,2,36
10091397,15,2,37
10091431,18,19,2
10091523,37,10,2
10091563,36,37,15
10091609,48,36,2
10091619,26,6,15
10091653,10,15,2
10091655,2,12,6
10091713,37,48,36
10091881,36,10,15
10091896,2,19,15
10091913,22,2,15
10091915,37,39,21
10091971,37,15,26
10091978,37,15,2
10091979,36,37,19
10091988,37,25,19
10092091,26,10,22
10092104,48,2,36
10092111,37,12,39
10092114,2,25,37
10092166,36,15,37
10092182,37,10,36
10092204,48,10,37
10092253,48,37,18
10092275,36,26,37
10092317,10,37,15
10092326,2,37,36
10092379,37,2,21
10092565,19,18,25
10092609,2,37,15
10092646,13,10,37
10092661,10,36,15
10092667,37,10,12
10092747,2,36,37
10092901,2,19,48
10092935,37,15,2
10092989,10,36,6
10093021,10,15,18
10093024,6,37,15
10093041,36,12,48
10093050,36,15,19
10093093,10,2,15
10093094,10,37,15
10093190,37,10,2
10093255,2,6,15
10093287,19,37,39
10093329,37,15,48
10093389,2,10,37
10093502,36,10,37
10093557,6,19,48
10093645,36,37,25
10093664,37,48,36
10093686,37,10,15
10093698,26,2,39
10093709,2,36,48
10093746,36,15,10
10093798,2,15,19
10093853,10,6,15
10093879,39,13,10
10093890,15,2,21
10093921,2,15,39
10093988,10,37,15
10094084,37,2,15
10094099,37,2,21
10094272,37,10,36
10094340,2,37,48
10094376,48,15,2
10094384,10,13,15
10094401,37,12,10
10094414,36,15,37
10094421,48,36,10
10094460,37,15,21
10094495,15,2,6
10094721,10,12,15
10094749,10,18,19
10094767,15,37,2
10094781,37,15,2
10094906,37,48,2
10094928,36,37,12
10094995,48,39,37
10095063,48,2,15
10095086,37,15,2
10095122,48,15,10
10095165,36,37,13
10095190,37,21,6
10095212,13,37,36
10095397,37,2,19
10095413,37,15,2
10095416,15,37,48
10095434,37,48,39
10095452,25,22,2
10095551,2,37,15
10095610,13,15,2
10095629,36,37,12
10095662,37,10,2
10095796,10,12,36
10095832,37,39,15
10095833,6,37,10
10095905,25,15,2
10095914,37,15,2
10095999,13,2,37
10096071,25,10,2
10096087,2,37,15
10096088,15,25,2
10096145,37,36,2
10096235,2,39,21
10096321,37,48,15
10096323,37,36,15
10096467,15,37,2
10096590,37,2,15
10096610,10,15,37
10096677,2,36,15
10096712,37,2,12
10096799,13,48,12
10096855,37,2,19
10096858,21,37,2
10096860,15,2,10
10096875,13,10,37
10096881,10,2,15
10096947,2,36,37
10096987,37,15,2
10097096,10,48,15
10097176,15,2,10
10097241,10,21,18
10097271,2,21,37
10097342,36,19,25
10097357,25,12,37
10097382,36,15,22
10097393,10,15,2
10097530,37,10,2
10097590,37,13,2
10097604,2,37,19
10097656,10,37,48
10097690,10,15,48
10097788,12,15,21
10097843,37,21,2
10097854,37,2,15
10097869,37,15,10
10098000,37,2,25
10098059,10,36,15
10098121,10,48,37
10098265,26,15,37
10098291,36,37,2
10098292,10,37,2
10098380,19,2,48
10098434,12,10,2
10098466,37,10,2
10098519,48,13,15
10098548,37,12,15
10098562,6,15,19
10098570,25,2,15
10098650,37,15,2
10098652,48,15,13
10098701,10,15,37
10098838,13,15,37
10098980,10,48,15
10099100,37,2,15
10099130,37,18,19
10099198,2,48,15
10099208,37,15,2
10099241,36,48,37
10099244,37,2,15
10099251,37,48,15
10099389,48,25,15
10099494,48,37,15
10099585,10,12,37
10099587,37,48,2
10099782,10,48,2
10099847,36,37,12
10099854,10,13,37
10099867,37,10,15
10099877,2,48,22
10099901,37,15,19
10100126,13,37,15
10100248,13,2,37
10100319,2,37,15
10100372,10,12,36
10100405,37,15,2
10100494,37,15,2
10100513,37,15,36
10100684,37,15,2
10100727,36,12,48
10100779,37,15,36
10100962,12,37,15
10101055,48,37,36
10101059,48,37,15
10101068,37,2,15
10101070,2,18,36
10101119,37,15,19
10101207,36,37,15
10101211,37,25,22
10101307,36,37,15
10101339,10,48,2
10101459,10,15,18
10101484,37,48,2
10101567,48,37,2
10101656,37,15,2
10101693,12,37,15
10101694,10,37,19
10101721,13,48,2
10101813,37,10,15
10101816,37,12,2
10101977,13,36,37
10102003,48,15,2
10102045,19,2,37
10102072,6,18,19
10102163,37,48,15
10102210,37,2,15
10102257,15,48,13
10102272,48,2,25
10102376,25,48,37
10102379,37,2,19
10102381,19,6,36
10102430,36,39,2
10102500,2,15,39
10102616,10,15,37
10102623,37,19,2
10102696,37,2,15
10102756,36,37,15
10102768,37,2,26
10102823,48,15,37
10102872,48,10,37
10102930,18,2,10
10102956,37,18,15
10103013,48,37,15
10103051,2,15,37
10103058,37,36,13
10103065,22,2,10
10103095,48,15,2
10103165,37,12,19
10103184,37,18,22
10103289,10,37,36
10103306,37,2,15
10103363,15,2,48
10103453,37,15,19
10103572,48,2,15
10103635,36,15,37
10103693,13,37,2
10103739,37,48,36
10103756,15,12,10
10103864,37,19,15
10103888,37,2,15
10103980,36,2,10
10104001,36,25,2
10104075,36,10,37
10104097,10,15,18
10104116,19,39,37
10104118,37,15,19
10104148,37,19,15
10104161,10,13,48
10104165,10,48,37
10104216,37,12,15
10104288,36,48,12
10104309,48,2,15
10104465,36,37,10
10104514,37,12,19
10104578,15,36,10
10104586,37,48,2
10104627,37,15,2
10104680,37,2,18
10104862,36,37,21
10104894,13,48,10
10104963,10,15,2
10105066,36,12,15
10105074,37,36,26
10105090,37,2,26
10105155,13,37,2
10105199,48,10,37
10105232,37,48,2
10105248,37,10,15
10105284,37,15,2
10105432,2,15,37
10105441,10,12,19
10105539,10,37,15
10105552,10,6,18
10105554,10,37,15
10105589,37,10,19
10105595,37,36,15
10105689,37,48,2
10105750,15,2,19
10105770,2,36,10
10105782,10,13,15
10105937,36,15,10
10106044,37,6,15
10106046,15,22,36
10106056,15,37,13
10106170,36,10,2
10106241,13,36,15
10106256,37,21,15
10106300,36,37,15
10106528,37,10,15
10106531,10,37,15
10106628,10,48,15
10106712,37,10,2
10106748,36,13,37
10106788,10,37,2
10106897,37,2,15
10106939,36,10,12
10106947,15,37,22
10106961,48,37,2
10106984,36,10,13
10107070,37,10,36
10107087,37,2,15
10107146,36,10,15
10107210,36,15,37
10107432,37,2,15
10107455,15,37,2
10107479,13,10,15
10107505,37,15,2
10107507,37,26,22
10107539,37,25,15
10107585,37,15,18
10107600,37,15,2
10107610,37,15,12
10107611,10,12,15
10107620,2,37,15
10107628,2,15,37
10107637,2,15,10
10107646,10,37,15
10107669,10,37,2
10107704,37,22,15
10107708,36,48,15
10107772,37,2,15
10107799,48,2,15
10107863,37,15,36
10107935,36,13,15
10107947,36,10,12
10107985,15,10,2
10108096,10,36,15
10108136,15,37,2
10108167,37,15,2
10108268,36,37,15
10108280,36,10,15
10108305,2,36,15
10108320,36,15,2
10108417,37,48,19
10108439,36,15,10
10108464,2,15,37
10108560,13,10,36
10108627,15,36,48
10108884,15,36,26
10108995,48,37,15
10109032,10,37,15
10109046,2,15,37
10109070,10,37,2
10109140,36,48,10
10109225,37,15,2
10109249,37,2,19
10109446,10,15,2
10109453,10,2,15
10109473,2,21,10
10109494,13,2,15
10109542,37,15,21
10109631,37,22,2
10109641,13,36,2
10109758,36,37,15
10109786,37,10,15
10109860,10,2,6
10109895,2,15,10
10109903,37,2,12
10109971,36,10,48
10110009,10,37,15
10110048,48,37,15
10110070,2,48,37
10110206,37,2,13
10110219,10,48,12
10110335,13,36,48
10110338,36,2,48
10110471,36,37,10
10110475,2,15,39
10110523,37,2,12
10110657,37,2,15
10110801,39,21,18
10110806,37,36,13
10110815,12,19,2
10110854,48,2,15
10110918,2,39,10
10111032,36,37,48
10111159,2,15,10
10111188,10,37,2
10111260,10,15,36
10111338,15,2,37
10111362,37,2,15
10111365,10,48,36
10111430,37,19,39
10111442,2,39,15
10111517,37,2,15
10111527,37,2,15
10111540,10,15,36
10111550,37,48,2
10111622,37,12,25
10111659,36,37,2
10111716,36,15,10
10111717,10,21,15
10111729,2,18,37
10111747,37,36,15
10111764,13,2,48
10111809,37,36,48
10111837,2,37,19
10111904,13,10,15
10111914,48,37,36
10111928,10,37,48
10112006,37,15,2
10112035,37,15,2
10112048,37,15,2
10112110,37,2,15
10112220,48,37,39
10112243,37,15,2
10112332,36,2,48
10112356,48,26,39
10112461,36,39,48
10112501,48,10,2
10112513,37,10,48
10112525,36,10,13
10112528,25,37,15
10112574,48,10,15
10112712,48,15,2
10112775,37,15,12
10112785,36,2,15
10112791,48,15,13
10112811,10,36,2
10112839,37,15,22
10112854,37,15,19
10112874,36,15,2
10112891,37,48,15
10112923,2,15,48
10112970,12,15,37
10112972,36,10,15
10112981,36,37,15
10112983,37,36,2
10112991,48,10,19
10113020,22,37,15
10113050,10,37,26
10113106,48,37,12
10113268,2,18,12
10113284,2,15,19
10113349,13,15,10
10113376,13,37,36
10113438,37,15,19
10113508,36,37,13
10113658,48,37,15
10113735,37,19,15
10113780,37,21,2
10113844,37,2,19
10113886,15,12,37
10113887,37,15,10
10114021,37,15,48
10114092,2,15,39
10114106,10,36,15
10114126,48,37,2
10114201,37,10,21
10114217,37,2,15
10114295,37,36,48
10114299,37,2,15
10114416,37,10,2
10114480,37,15,2
10114589,36,10,2
10114602,10,37,25
10114660,37,2,15
10114765,18,15,2
10114800,37,2,15
10114822,10,37,6
10114860,48,37,15
10115061,37,15,2
10115088,36,37,15
10115114,37,19,15
10115164,36,2,15
10115197,37,2,15
10115202,36,15,2
10115219,10,37,2
10115264,10,36,13
10115279,22,15,2
10115298,2,48,36
10115324,37,25,15
10115326,36,15,10
10115408,36,15,37
10115437,2,15,13
10115457,10,36,15
10115462,15,37,10
10115511,37,21,2
10115598,2,15,10
10115613,13,15,36
10115627,48,15,13
10115705,36,37,15
10115714,10,13,2
10115987,22,19,15
10116005,13,15,10
10116017,48,15,25
10116072,37,10,19
10116172,10,37,36
10116222,15,2,48
10116260,37,2,15
10116287,37,10,36
10116303,39,2,37
10116330,48,2,37
10116410,37,15,2
10116489,15,26,2
10116538,2,37,12
10116552,37,15,2
10116649,36,26,19
10116652,10,36,2
10116655,13,37,10
10116658,36,37,48
10116668,12,48,10
10116673,19,2,15
10116816,2,48,37
10116855,22,2,15
10116858,15,48,37
10116973,15,2,10
10117018,12,19,2
10117032,37,10,15
10117034,18,2,37
10117058,15,10,2
10117061,10,2,13
10117149,10,15,36
10117204,36,37,48
10117215,36,15,37
10117238,37,36,10
10117245,37,36,12
10117255,10,37,15
10117289,2,15,37
10117325,13,10,48
10117331,12,36,37
10117448,37,10,15
10117517,2,15,10
10117530,37,15,10
10117600,10,36,13
10117617,10,2,15
10117624,48,10,36
10117693,37,15,18
10117733,10,2,19
10117797,37,10,48
10117801,37,2,15
10117989,48,37,15
10117990,37,15,2
10118014,2,19,48
10118063,10,48,25
10118070,2,15,37
10118104,2,37,15
10118223,10,37,15
10118276,37,15,21
10118453,37,2,15
10118480,37,21,25
10118525,37,15,2
10118534,6,39,2
10118623,36,37,15
10118698,36,15,12
10118729,36,37,15
10118790,37,2,15
10118930,10,48,15
10119004,15,18,39
10119032,37,10,36
10119035,37,36,48
10119053,37,15,2
10119092,2,15,37
10119187,48,37,2
10119279,37,26,15
10119381,37,2,15
10119416,37,2,15
10119612,36,10,15
10119631,37,15,2
10119738,48,37,15
10119819,37,39,2
10119910,37,15,2
10120027,36,15,12
10120035,37,25,15
10120222,48,2,15
10120230,13,12,18
10120237,37,15,10
10120248,15,36,10
10120372,15,2,37
10120388,2,15,37
10120441,18,13,2
10120464,36,37,15
10120483,37,2,15
10120500,25,26,37
10120521,37,12,13
10120879,37,2,36
10120987,10,37,15
10121073,2,37,6
10121074,2,15,13
10121108,36,10,48
10121142,37,10,15
10121204,48,13,15
10121296,37,2,15
10121318,37,36,15
10121415,2,15,39
10121435,36,37,2
10121449,2,37,48
10121452,12,10,2
10121485,39,48,2
10121524,37,15,2
10121530,12,36,37
10121536,37,15,2
10121641,36,15,2
10121665,36,10,13
10121808,10,2,15
10121819,36,37,2
10121894,36,10,2
10121907,19,22,37
10121962,36,13,15
10122089,36,10,15
10122254,36,37,15
10122293,10,48,15
10122372,37,15,39
10122502,37,15,2
10122722,37,15,22
10122810,10,6,2
10122839,13,2,36
10122844,37,13,15
10122862,37,22,21
10122941,15,6,48
10122966,37,2,15
10122986,2,19,18
10122991,37,15,2
10123009,36,37,2
10123090,48,2,15
10123103,36,37,2
10123133,48,37,2
10123168,36,37,2
10123178,2,13,15
10123198,15,2,12
10123200,2,15,12
10123268,6,10,37
10123276,48,15,2
10123297,37,2,15
10123324,37,15,10
10123325,37,2,15
10123383,48,15,10
10123395,48,37,15
10123462,37,15,2
10123744,15,37,2
10123803,37,15,2
10123812,10,12,48
10123817,48,10,36
10123868,37,15,2
10123890,37,48,2
10123941,37,15,21
10124024,36,13,37
10124036,10,15,2
10124110,48,2,37
10124274,13,36,10
10124292,15,12,48
10124315,36,37,15
10124447,2,39,13
10124562,15,10,36
10124684,37,2,15
10124798,36,37,10
10124927,10,2,37
10124963,10,36,48
10125128,48,37,10
10125131,10,15,6
10125207,37,21,2
10125211,37,48,15
10125267,37,15,2
10125340,37,2,12
10125586,37,10,36
10125639,19,15,2
10125751,37,15,2
10125839,15,10,37
10125846,13,10,15
10125920,36,13,10
10125927,37,12,15
10125945,19,37,26
10125976,26,48,36
10125994,48,10,37
10126010,15,10,2
10126107,37,10,21
10126153,37,2,15
10126176,37,2,15
10126178,10,48,15
10126179,37,10,22
10126222,37,2,15
10126295,36,37,15
10126352,10,36,37
10126396,2,48,12
10126452,37,15,2
10126464,15,37,2
10126679,15,2,39
10126684,37,15,12
10126721,12,37,10
10126733,36,15,2
10126743,2,15,36
10126773,15,37,2
10126775,10,2,15
10126778,36,15,2
10126781,37,15,2
10126787,48,37,15
10126812,36,25,2
10126824,36,37,15
10126903,10,2,48
10126912,37,15,2
10126953,37,2,10
10126981,37,2,19
10126994,37,10,15
10126995,10,37,39
10127000,37,15,2
10127091,48,15,2
10127141,37,48,13
10127167,10,2,15
10127300,37,48,2
10127399,10,12,37
10127406,36,48,12
10127474,10,12,15
10127499,37,10,15
10127514,37,10,6
10127538,37,10,2
10127549,37,2,15
10127562,37,12,2
10127564,37,15,2
10127567,48,15,37
10127682,36,12,37
10127691,48,26,2
10127700,15,37,48
10127801,10,2,48
10127899,37,15,36
10128061,19,36,15
10128083,10,37,15
10128099,15,2,39
10128158,37,2,15
10128182,48,37,13
10128227,37,10,15
10128279,10,15,12
10128310,37,2,19
10128312,15,37,36
10128365,37,15,2
10128368,12,10,25
10128385,36,37,10
10128417,12,10,26
10128478,36,15,10
10128530,37,10,2
10128604,37,48,19
10128623,13,37,15
10128657,10,12,37
10128665,48,15,2
10128681,12,36,15
10128721,10,37,15
10128906,36,48,15
10128923,37,15,2
10128982,37,15,2
10129116,12,37,15
10129159,37,15,10
10129177,37,12,15
10129249,37,10,22
10129341,36,37,10
10129352,15,48,36
10129540,36,10,15
10129547,36,12,25
10129562,37,15,2
10129808,48,37,2
10129890,37,2,15
10129914,2,19,10
10129921,37,10,12
10129931,37,26,15
10129992,36,37,15
10130013,36,39,10
10130048,10,48,37
10130084,36,10,48
10130097,2,13,10
10130118,10,2,15
10130234,10,37,21
10130244,48,15,36
10130333,10,2,15
10130379,37,36,48
10130435,36,15,2
10130474,2,15,10
10130506,6,2,10
10130533,48,37,15
10130556,10,15,2
10130599,15,2,13
10130622,37,2,39
10130626,10,15,48
10130679,37,2,15
10130694,37,2,15
10130701,10,37,15
10130805,36,15,37
10130884,12,37,36
10130922,36,37,15
10130969,37,15,2
10131121,15,10,37
10131128,37,36,2
10131175,36,37,15
10131191,36,15,10
10131204,37,15,2
10131250,48,2,15
10131308,37,36,22
10131326,37,15,36
10131432,2,37,19
10131435,15,37,10
10131503,15,37,18
10131506,48,36,37
10131572,37,48,15
10131942,36,19,15
10132109,10,15,12
10132202,15,37,2
10132260,10,37,36
10132311,15,37,36
10132329,37,12,36
10132338,10,36,15
10132356,36,37,10
10132365,2,37,15
10132418,37,2,10
10132453,36,15,2
10132514,13,12,36
10132585,36,25,48
10132708,15,10,19
10132710,48,10,12
10132729,37,15,39
10132796,37,15,10
10132893,22,37,2
10132936,36,37,15
10133142,37,13,48
10133159,37,15,2
10133174,37,10,19
10133353,37,15,2
10133369,13,36,10
10133441,37,2,15
10133479,36,15,10
10133485,37,36,10
10133551,2,37,15
10133632,37,10,2
10133635,2,37,15
10133724,48,37,15
10133737,37,15,2
10133767,37,15,2
10133780,36,15,2
10133794,12,36,37
10133867,37,15,2
10133894,37,26,2
10133911,37,2,15
10133986,12,48,37
10134056,37,2,15
10134095,10,36,6
10134169,37,2,15
10134172,37,48,15
10134201,10,37,15
10134225,15,2,39
10134380,37,15,2
10134436,37,22,2
10134460,37,2,15
10134476,10,36,25
10134495,36,37,10
10134540,13,10,15
10134563,26,18,15
10134578,37,48,15
10134621,37,12,36
10134714,37,15,2
10134749,37,15,19
10134788,37,10,15
10134794,15,10,12
10134800,13,48,15
10134811,13,48,15
10134901,13,37,48
10134912,37,10,2
10134968,36,15,2
10134988,10,15,19
10135067,37,36,10
10135265,2,10,15
10135318,37,15,10
10135370,36,18,2
10135371,36,10,19
10135382,37,25,36
10135385,26,37,15
10135390,37,19,22
10135413,48,13,15
10135521,2,15,37
10135528,37,48,36
10135618,37,15,2
10135620,10,2,12
10135896,37,10,15
10135966,37,15,2
10135997,37,2,19
10136009,37,2,15
10136092,13,10,15
10136226,19,37,12
10136364,10,18,19
10136396,37,15,2
10136492,37,21,2
10136640,10,13,12
10136688,36,15,2
10136703,37,10,15
10136720,19,15,2
10136799,10,37,15
10136860,48,2,15
10136920,36,12,37
10136939,36,37,18
10137003,37,21,36
10137007,37,25,21
10137059,37,2,15
10137063,37,15,2
10137113,37,10,15
10137175,48,12,10
10137205,48,26,37
10137243,37,15,12
10137426,36,15,37
10137530,48,10,39
10137549,15,22,37
10137640,13,10,15
10137655,36,15,2
10137762,15,13,48
10137795,48,15,2
10137830,15,26,19
10137845,37,15,21
10137884,37,15,2
10137925,37,36,48
10137957,37,2,21
10138182,37,15,2
10138328,10,15,2
10138503,15,6,19
10138532,36,48,2
10138610,36,37,15
10138650,2,12,15
10138870,37,48,15
10139063,36,10,15
10139231,48,37,15
10139319,13,15,19
10139333,37,26,15
10139397,36,10,15
10139494,19,18,15
10139499,10,37,39
10139561,2,37,15
10139570,48,2,26
10139598,10,37,2
10139618,37,2,15
10139650,48,37,15
10139785,37,48,15
10139878,26,37,15
10140007,36,15,37
10140016,37,15,36
10140108,37,10,39
10140173,10,15,36
10140252,37,2,15
10140262,15,12,37
10140341,36,37,48
10140402,2,22,15
10140446,15,2,18
10140469,22,48,15
10140477,37,15,2
10140485,13,48,15
10140752,15,2,22
10140801,37,2,15
10140872,2,21,10
10141017,13,12,37
10141029,10,37,2
10141054,36,2,13
10141108,48,10,36
10141120,36,13,10
10141206,15,13,12
10141215,37,2,25
10141250,37,10,19
10141375,15,10,36
10141457,37,15,39
10141646,13,12,48
10141667,10,12,39
10141813,37,10,12
10141897,10,2,19
10141908,2,15,10
10141974,37,36,10
10141975,48,15,37
10141993,48,36,2
10141998,37,15,2
10142034,48,12,15
10142053,37,2,15
10142066,2,48,36
10142122,10,19,36
10142202,36,13,37
10142247,2,12,37
10142296,48,15,2
10142361,10,36,15
10142374,36,37,15
10142417,2,10,48
10142418,15,37,2
10142463,37,15,2
10142487,2,37,15
10142601,2,6,37
10142603,37,39,15
10142618,37,12,18
10142791,13,10,48
10143003,37,15,19
10143131,37,36,2
10143183,37,22,2
10143206,37,15,19
10143240,2,15,37
10143242,19,48,36
10143278,37,10,2
10143298,37,36,15
10143349,10,18,19
10143383,37,15,36
10143389,37,2,10
10143418,10,37,2
10143482,36,12,39
10143489,37,19,2
10143538,10,37,36
10143587,37,15,21
10143612,36,22,15
10143618,15,2,19
10143664,37,26,2
10143679,37,36,15
10143686,36,25,37
10143688,13,6,15
10143694,26,37,15
10143712,37,15,2
10143735,10,36,48
10143760,37,15,2
10143801,37,2,25
10143840,36,15,13
10143948,2,10,15
10143964,10,36,37
10143998,12,10,15
10144018,15,26,2
10144021,36,15,2
10144052,37,36,15
10144109,37,39,19
10144197,15,12,19
10144219,19,15,2
10144270,37,21,10
10144272,37,2,21
10144351,48,39,15
10144422,37,15,2
10144433,37,26,15
10144474,15,37,2
10144504,37,48,36
10144575,36,10,37
10144590,37,15,2
10144623,37,36,10
10144647,36,37,15
10144677,37,10,15
10144751,37,15,25
10144824,2,37,15
10144956,37,48,2
10145054,48,13,15
10145112,10,37,15
10145150,2,10,36
10145160,37,15,2
10145162,48,19,10
10145229,2,15,37
10145342,25,15,2
10145368,36,2,15
10145436,10,15,39
10145718,37,15,10
10145865,36,48,19
10145882,36,10,37
10145883,12,2,18
10145914,37,2,19
10145980,10,37,12
10145981,36,15,10
10145990,48,37,15
10146012,10,48,21
10146053,37,36,39
10146078,37,10,18
10146110,6,2,19
10146179,37,15,2
10146198,15,2,6
10146271,36,2,25
10146403,12,15,37
10146411,36,37,2
10146439,37,15,2
10146453,15,12,2
10146454,2,15,10
10146519,37,48,15
10146538,10,37,2
10146541,37,15,36
10146556,37,2,15
10146559,37,2,15
10146567,15,37,2
10146661,36,15,2
10146677,36,37,15
10146686,36,37,2
10146837,10,15,48
10146945,37,10,39
10147015,25,22,2
10147023,15,37,10
10147027,10,15,2
10147056,37,2,15
10147089,48,15,36
10147125,37,15,19
10147226,15,37,19
10147258,37,2,15
10147278,48,37,15
10147279,37,2,36
10147360,12,37,15
10147383,48,15,37
10147453,10,15,2
10147476,37,15,2
10147495,37,15,6
10147510,37,19,15
10147518,19,37,15
10147544,13,2,15
10147568,37,10,18
10147573,37,13,15
10147587,36,6,37
10147639,36,37,22
10147786,48,18,15
10147969,15,10,48
10148092,2,36,39
10148103,37,2,21
10148120,37,15,10
10148129,26,37,15
10148175,36,2,12
10148183,37,48,25
10148505,2,22,15
10148510,2,36,15
10148577,36,37,48
10148634,48,15,37
10148719,37,48,2
10148735,36,37,19
10148760,36,2,19
10148905,48,15,2
10148937,37,15,10
10149048,36,37,12
10149053,37,2,15
10149070,22,2,37
10149078,37,48,36
10149095,15,37,2
10149119,36,37,15
10149190,48,36,39
10149199,10,48,2
10149321,37,15,2
10149550,36,10,15
10149674,10,2,37
10149778,13,36,15
10149792,36,10,37
10149797,37,36,15
10149832,6,10,37
10149968,10,37,36
10149984,36,10,15
10150015,37,2,12
10150086,2,37,15
10150105,37,2,15
10150134,36,37,2
10150164,37,15,2
10150187,36,10,37
10150263,48,2,39
10150266,15,36,2
10150393,37,15,10
10150427,36,37,15
10150481,10,2,15
10150542,36,37,13
10150575,48,10,15
10150663,2,37,19
10150700,10,37,36
10150731,48,19,37
10150738,48,37,36
10150760,37,48,36
10150983,37,15,2
10151031,15,18,26
10151073,37,2,15
10151078,2,10,15
10151120,36,10,15
10151335,2,36,37
10151342,2,39,15
10151356,12,2,21
10151424,37,2,10
10151430,15,37,2
10151504,2,48,26
10151619,2,15,37
10151668,2,15,37
10151759,10,12,36
10151789,13,37,15
10151804,48,36,37
10151820,37,19,2
10151864,10,2,13
10151906,48,36,2
10151909,36,15,19
10151947,37,2,19
10152060,36,10,12
10152167,37,26,19
10152291,2,10,37
10152303,2,10,15
10152311,10,37,15
10152320,37,15,10
10152325,15,10,48
10152476,2,36,15
10152506,37,2,15
10152524,37,6,22
10152543,36,37,10
10152553,10,15,37
10152626,37,48,6
10152630,22,2,37
10152648,37,10,15
10152955,48,15,2
10152962,37,13,15
10153130,37,15,36
10153139,12,10,37
10153206,10,39,2
10153290,2,48,13
10153295,37,2,19
10153321,37,15,2
10153373,36,10,37
10153376,37,2,18
10153530,37,12,21
10153650,10,37,2
10153743,37,36,13
10153793,37,15,2
10153845,37,2,15
10153866,6,37,15
10153902,10,37,15
10153936,36,37,19
10154092,37,10,12
10154164,36,12,37
10154188,2,37,19
10154283,10,2,36
10154291,37,12,2
10154294,10,15,2
10154306,36,37,48
10154363,10,15,2
10154402,37,36,15
10154427,10,21,18
10154458,37,2,15
10154564,15,10,22
10154571,37,19,2
10154572,37,15,2
10154695,19,37,2
10154809,36,19,15
10154813,48,37,2
10154852,13,36,10
10154869,37,36,48
10154970,15,26,2
10154991,12,37,2
10155113,15,2,37
10155157,37,15,2
10155182,36,48,19
10155262,10,2,37
10155334,37,10,12
10155370,37,36,10
10155391,36,10,37
10155405,37,36,19
10155471,26,37,15
10155517,2,15,48
10155656,36,48,25
10155662,19,37,2
10155678,36,26,37
10155692,37,36,2
10155815,37,36,48
10155837,37,48,12
10155875,48,2,36
10155995,13,10,15
10155999,22,36,37
10156009,10,15,25
10156111,36,37,15
10156117,10,37,2
10156207,37,22,19
10156333,37,10,18
10156395,15,37,10
10156413,13,48,10
10156415,37,48,15
10156451,15,10,2
10156493,37,6,18
10156609,15,26,2
10156658,37,2,15
10156679,15,48,39
10156689,25,19,18
10156788,48,37,36
